Method,Test Runs,Original Image,Original Image Size (KB),Original Image Path,Compressed Image,Compressed Image Size (KB),Compressed Image Path,Compression Ratio,Build Tree Time (ms),Nearest Search Time (ms),CNN Inference Time (ms),Encoding Time (s),Decoding Time (s),PSNR (dB),SSIM,Blocks (blocks/s)
proposed,2,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,proposed_2_compressed_glioma_0322.jpg,9.14,data/compressed/multiTest\proposed_2_compressed_glioma_0322.jpg,1:5,5.9803,0.6414,63.4994,0.7303,0.0423,23.6845,0.7848,1536.2396
proposed,2,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,proposed_2_compressed_glioma_0296.jpg,8.55,data/compressed/multiTest\proposed_2_compressed_glioma_0296.jpg,1:6,7.5118,0.6935,66.8785,0.783,0.0488,26.6525,0.8117,1417.1227
proposed,2,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,proposed_2_compressed_glioma_0102.jpg,8.86,data/compressed/multiTest\proposed_2_compressed_glioma_0102.jpg,1:5,7.3543,0.787,63.6008,0.8784,0.05,24.6696,0.7722,1253.265
proposed,2,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,proposed_2_compressed_glioma_0840.jpg,5.81,data/compressed/multiTest\proposed_2_compressed_glioma_0840.jpg,1:5,6.0056,0.4449,63.4248,0.5452,0.0364,26.5523,0.8803,2214.6526
proposed,2,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,proposed_2_compressed_glioma_0557.jpg,6.29,data/compressed/multiTest\proposed_2_compressed_glioma_0557.jpg,1:5,5.6767,0.5636,61.8924,0.6674,0.0533,25.044,0.8653,1750.5342
proposed,2,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,proposed_2_compressed_glioma_0386.jpg,6.06,data/compressed/multiTest\proposed_2_compressed_glioma_0386.jpg,1:5,5.9655,0.577,68.4148,0.6633,0.0352,28.2083,0.8658,1710.0971
proposed,2,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,proposed_2_compressed_glioma_0769.jpg,6.25,data/compressed/multiTest\proposed_2_compressed_glioma_0769.jpg,1:5,5.9566,0.5227,63.2255,0.6105,0.0312,26.1737,0.8608,1887.8684
proposed,2,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,proposed_2_compressed_glioma_0159.jpg,6.13,data/compressed/multiTest\proposed_2_compressed_glioma_0159.jpg,1:5,9.506,0.5847,64.8061,0.6725,0.0409,27.4012,0.8677,1690.4937
proposed,2,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,proposed_2_compressed_glioma_0934.jpg,3.59,data/compressed/multiTest\proposed_2_compressed_glioma_0934.jpg,1:5,6.0341,0.4263,62.9047,0.4999,0.0444,30.7906,0.9321,2310.6836
proposed,2,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,proposed_2_compressed_glioma_0171.jpg,3.68,data/compressed/multiTest\proposed_2_compressed_glioma_0171.jpg,1:5,5.8971,0.4349,63.5509,0.5236,0.042,30.8056,0.9444,2268.0011
proposed,2,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,proposed_2_compressed_glioma_0111.jpg,3.71,data/compressed/multiTest\proposed_2_compressed_glioma_0111.jpg,1:5,6.0094,0.5349,59.9462,0.6157,0.0485,32.8328,0.9333,1846.5219
proposed,2,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,proposed_2_compressed_glioma_0918.jpg,3.83,data/compressed/multiTest\proposed_2_compressed_glioma_0918.jpg,1:5,6.9703,0.4118,65.1486,0.4877,0.0508,30.1536,0.9273,2392.3696
proposed,2,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,proposed_2_compressed_glioma_0558.jpg,3.78,data/compressed/multiTest\proposed_2_compressed_glioma_0558.jpg,1:5,6.9075,0.4178,64.1602,0.5078,0.0372,29.1673,0.9338,2353.7016
proposed,2,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,proposed_2_compressed_pituitary_0048.jpg,11.33,data/compressed/multiTest\proposed_2_compressed_pituitary_0048.jpg,1:29,5.0724,0.741,61.1698,0.8488,0.0412,22.0562,0.7293,1324.5156
proposed,2,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,proposed_2_compressed_pituitary_0681.jpg,11.32,data/compressed/multiTest\proposed_2_compressed_pituitary_0681.jpg,1:23,6.0136,0.7725,61.443,0.869,0.0499,22.6735,0.719,1278.7427
proposed,2,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,proposed_2_compressed_pituitary_0287.jpg,7.96,data/compressed/multiTest\proposed_2_compressed_pituitary_0287.jpg,1:29,6.3421,0.6304,61.9631,0.7272,0.0292,23.3067,0.8145,1564.2054
proposed,2,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,proposed_2_compressed_pituitary_0798.jpg,8.68,data/compressed/multiTest\proposed_2_compressed_pituitary_0798.jpg,1:17,6.9493,0.7543,61.3922,0.8594,0.0397,24.2288,0.7889,1305.5844
proposed,2,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,proposed_2_compressed_pituitary_0598.jpg,9.85,data/compressed/multiTest\proposed_2_compressed_pituitary_0598.jpg,1:12,5.9024,0.7685,61.8307,0.8525,0.0447,24.4496,0.8051,1285.6684
proposed,2,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,proposed_2_compressed_pituitary_0274.jpg,8.22,data/compressed/multiTest\proposed_2_compressed_pituitary_0274.jpg,1:5,5.6447,0.7007,62.9358,0.7973,0.0354,24.3755,0.824,1409.7409
proposed,2,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,proposed_2_compressed_pituitary_0873.jpg,8.67,data/compressed/multiTest\proposed_2_compressed_pituitary_0873.jpg,1:5,6.0454,0.6251,63.0113,0.7184,0.0283,23.3793,0.8109,1576.854
proposed,2,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,proposed_2_compressed_pituitary_0971.jpg,8.41,data/compressed/multiTest\proposed_2_compressed_pituitary_0971.jpg,1:5,7.1892,0.6549,61.9881,0.7422,0.0311,24.5391,0.8008,1504.8124
proposed,2,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,proposed_2_compressed_pituitary_0816.jpg,8.73,data/compressed/multiTest\proposed_2_compressed_pituitary_0816.jpg,1:5,5.6301,0.7422,62.8181,0.8402,0.0478,24.8807,0.8196,1327.1066
proposed,2,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,proposed_2_compressed_pituitary_0217.jpg,8.58,data/compressed/multiTest\proposed_2_compressed_pituitary_0217.jpg,1:5,6.1044,0.7108,62.1694,0.8086,0.0261,24.797,0.7965,1384.8172
proposed,2,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,proposed_2_compressed_pituitary_0106.jpg,9.92,data/compressed/multiTest\proposed_2_compressed_pituitary_0106.jpg,1:2,6.8364,0.7244,65.2478,0.8168,0.0469,25.1625,0.7151,1362.5942
proposed,2,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,proposed_2_compressed_pituitary_0249.jpg,10.2,data/compressed/multiTest\proposed_2_compressed_pituitary_0249.jpg,1:2,5.8946,0.747,62.4645,0.8579,0.0335,24.2659,0.687,1320.7528
proposed,2,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,proposed_2_compressed_pituitary_0498.jpg,10.35,data/compressed/multiTest\proposed_2_compressed_pituitary_0498.jpg,1:2,5.5628,0.7568,62.76,0.8627,0.028,24.3704,0.7008,1304.2916
proposed,2,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,proposed_2_compressed_pituitary_0218.jpg,10.33,data/compressed/multiTest\proposed_2_compressed_pituitary_0218.jpg,1:2,5.9907,0.751,60.4616,0.85,0.0435,24.4273,0.6904,1315.4372
proposed,2,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,proposed_2_compressed_pituitary_0499.jpg,10.5,data/compressed/multiTest\proposed_2_compressed_pituitary_0499.jpg,1:2,6.5433,0.7219,63.9373,0.8272,0.0369,24.1036,0.6817,1365.6742
proposed,3,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,proposed_3_compressed_glioma_0132.jpg,9.64,data/compressed/multiTest\proposed_3_compressed_glioma_0132.jpg,1:5,6.6687,0.7944,63.8127,0.8994,0.032,23.0564,0.7623,1235.326
proposed,3,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,proposed_3_compressed_glioma_0990.jpg,9.3,data/compressed/multiTest\proposed_3_compressed_glioma_0990.jpg,1:5,8.4615,0.7508,64.3924,0.8537,0.0307,23.5434,0.774,1312.0183
proposed,3,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,proposed_3_compressed_glioma_0322.jpg,9.14,data/compressed/multiTest\proposed_3_compressed_glioma_0322.jpg,1:5,6.9925,0.6481,63.425,0.7346,0.0418,23.6845,0.7848,1520.983
proposed,3,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,proposed_3_compressed_glioma_0296.jpg,8.55,data/compressed/multiTest\proposed_3_compressed_glioma_0296.jpg,1:6,6.7179,0.6961,61.4711,0.79,0.0486,26.6525,0.8117,1416.9796
proposed,3,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,proposed_3_compressed_glioma_0102.jpg,8.86,data/compressed/multiTest\proposed_3_compressed_glioma_0102.jpg,1:5,7.3163,0.7546,63.9573,0.8541,0.029,24.6696,0.7722,1303.8776
proposed,3,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,proposed_3_compressed_glioma_0840.jpg,5.81,data/compressed/multiTest\proposed_3_compressed_glioma_0840.jpg,1:5,6.2419,0.4423,62.1279,0.5403,0.0374,26.5523,0.8803,2223.7539
proposed,3,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,proposed_3_compressed_glioma_0557.jpg,6.29,data/compressed/multiTest\proposed_3_compressed_glioma_0557.jpg,1:5,5.7712,0.5832,61.9206,0.6752,0.049,25.044,0.8653,1692.8236
proposed,3,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,proposed_3_compressed_glioma_0386.jpg,6.06,data/compressed/multiTest\proposed_3_compressed_glioma_0386.jpg,1:5,5.7302,0.584,72.9642,0.6792,0.0296,28.2083,0.8658,1693.2429
proposed,3,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,proposed_3_compressed_glioma_0769.jpg,6.25,data/compressed/multiTest\proposed_3_compressed_glioma_0769.jpg,1:5,6.8443,0.5343,63.4576,0.6197,0.0419,26.1737,0.8608,1848.4312
proposed,3,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,proposed_3_compressed_glioma_0159.jpg,6.13,data/compressed/multiTest\proposed_3_compressed_glioma_0159.jpg,1:5,6.8649,0.5527,62.2495,0.6554,0.0327,27.4012,0.8677,1782.3664
proposed,3,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,proposed_3_compressed_glioma_0934.jpg,3.59,data/compressed/multiTest\proposed_3_compressed_glioma_0934.jpg,1:5,6.2895,0.4281,64.4405,0.5124,0.0448,30.7906,0.9321,2297.9772
proposed,3,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,proposed_3_compressed_glioma_0171.jpg,3.68,data/compressed/multiTest\proposed_3_compressed_glioma_0171.jpg,1:5,7.8631,0.4238,61.0235,0.5113,0.0306,30.8056,0.9444,2317.6288
proposed,3,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,proposed_3_compressed_glioma_0111.jpg,3.71,data/compressed/multiTest\proposed_3_compressed_glioma_0111.jpg,1:5,7.4222,0.541,61.861,0.6343,0.0323,32.8328,0.9333,1826.6642
proposed,3,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,proposed_3_compressed_glioma_0918.jpg,3.83,data/compressed/multiTest\proposed_3_compressed_glioma_0918.jpg,1:5,6.2243,0.406,61.9936,0.48,0.0448,30.1536,0.9273,2431.6369
proposed,3,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,proposed_3_compressed_glioma_0558.jpg,3.78,data/compressed/multiTest\proposed_3_compressed_glioma_0558.jpg,1:5,5.8038,0.4568,62.1641,0.5428,0.0327,29.1673,0.9338,2156.386
proposed,3,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,proposed_3_compressed_pituitary_0048.jpg,11.33,data/compressed/multiTest\proposed_3_compressed_pituitary_0048.jpg,1:29,5.2646,0.7634,61.8664,0.8508,0.0485,22.0562,0.7293,1294.2301
proposed,3,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,proposed_3_compressed_pituitary_0681.jpg,11.32,data/compressed/multiTest\proposed_3_compressed_pituitary_0681.jpg,1:23,7.0677,0.7715,62.1251,0.8726,0.0301,22.6735,0.719,1278.8835
proposed,3,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,proposed_3_compressed_pituitary_0287.jpg,7.96,data/compressed/multiTest\proposed_3_compressed_pituitary_0287.jpg,1:29,6.6521,0.6566,63.0776,0.7497,0.0467,23.3067,0.8145,1501.3784
proposed,3,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,proposed_3_compressed_pituitary_0798.jpg,8.68,data/compressed/multiTest\proposed_3_compressed_pituitary_0798.jpg,1:17,6.6497,0.715,61.8293,0.8191,0.0347,24.2288,0.7889,1381.7601
proposed,3,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,proposed_3_compressed_pituitary_0598.jpg,9.85,data/compressed/multiTest\proposed_3_compressed_pituitary_0598.jpg,1:12,6.6947,0.7874,64.4983,0.8857,0.0347,24.4496,0.8051,1252.4693
proposed,3,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,proposed_3_compressed_pituitary_0274.jpg,8.22,data/compressed/multiTest\proposed_3_compressed_pituitary_0274.jpg,1:5,6.0646,0.7572,62.0011,0.8675,0.0358,24.3755,0.824,1303.6625
proposed,3,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,proposed_3_compressed_pituitary_0873.jpg,8.67,data/compressed/multiTest\proposed_3_compressed_pituitary_0873.jpg,1:5,6.3566,0.6399,62.7443,0.7356,0.0341,23.3793,0.8109,1542.0646
proposed,3,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,proposed_3_compressed_pituitary_0971.jpg,8.41,data/compressed/multiTest\proposed_3_compressed_pituitary_0971.jpg,1:5,6.6133,0.6654,64.3709,0.7484,0.042,24.5391,0.8008,1482.4406
proposed,3,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,proposed_3_compressed_pituitary_0816.jpg,8.73,data/compressed/multiTest\proposed_3_compressed_pituitary_0816.jpg,1:5,5.9569,0.7484,62.2281,0.8519,0.0425,24.8807,0.8196,1319.6917
proposed,3,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,proposed_3_compressed_pituitary_0217.jpg,8.58,data/compressed/multiTest\proposed_3_compressed_pituitary_0217.jpg,1:5,6.1012,0.6784,62.8816,0.7702,0.0306,24.797,0.7965,1454.3209
proposed,3,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,proposed_3_compressed_pituitary_0106.jpg,9.92,data/compressed/multiTest\proposed_3_compressed_pituitary_0106.jpg,1:2,6.4499,0.7265,61.3931,0.8277,0.0408,25.1625,0.7151,1354.973
proposed,3,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,proposed_3_compressed_pituitary_0249.jpg,10.2,data/compressed/multiTest\proposed_3_compressed_pituitary_0249.jpg,1:2,6.4964,0.8001,61.389,0.8941,0.0437,24.2659,0.687,1232.2058
proposed,3,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,proposed_3_compressed_pituitary_0498.jpg,10.35,data/compressed/multiTest\proposed_3_compressed_pituitary_0498.jpg,1:2,7.0172,0.7601,65.6375,0.8559,0.0435,24.3704,0.7008,1300.3361
proposed,3,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,proposed_3_compressed_pituitary_0218.jpg,10.33,data/compressed/multiTest\proposed_3_compressed_pituitary_0218.jpg,1:2,6.9652,0.7722,62.5234,0.8778,0.033,24.4273,0.6904,1280.4494
proposed,3,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,proposed_3_compressed_pituitary_0499.jpg,10.5,data/compressed/multiTest\proposed_3_compressed_pituitary_0499.jpg,1:2,6.3247,0.7603,181.36,0.9717,0.0414,24.1036,0.6817,1298.2882
proposed,4,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,proposed_4_compressed_glioma_0132.jpg,9.64,data/compressed/multiTest\proposed_4_compressed_glioma_0132.jpg,1:5,9.1408,0.7461,63.1185,0.8484,0.0328,23.0564,0.7623,1321.3048
proposed,4,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,proposed_4_compressed_glioma_0990.jpg,9.3,data/compressed/multiTest\proposed_4_compressed_glioma_0990.jpg,1:5,5.7374,0.7744,62.591,0.8641,0.0339,23.5434,0.774,1275.5614
proposed,4,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,proposed_4_compressed_glioma_0322.jpg,9.14,data/compressed/multiTest\proposed_4_compressed_glioma_0322.jpg,1:5,6.2683,0.6984,62.9819,0.7935,0.0416,23.6845,0.7848,1411.9026
proposed,4,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,proposed_4_compressed_glioma_0296.jpg,8.55,data/compressed/multiTest\proposed_4_compressed_glioma_0296.jpg,1:6,6.2529,0.7083,61.72,0.8084,0.04,26.6525,0.8117,1393.3745
proposed,4,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,proposed_4_compressed_glioma_0102.jpg,8.86,data/compressed/multiTest\proposed_4_compressed_glioma_0102.jpg,1:5,6.5748,0.7661,64.5044,0.8639,0.0374,24.6696,0.7722,1286.6612
proposed,4,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,proposed_4_compressed_glioma_0840.jpg,5.81,data/compressed/multiTest\proposed_4_compressed_glioma_0840.jpg,1:5,5.8512,0.4632,62.7206,0.5497,0.0345,26.5523,0.8803,2129.5392
proposed,4,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,proposed_4_compressed_glioma_0557.jpg,6.29,data/compressed/multiTest\proposed_4_compressed_glioma_0557.jpg,1:5,6.7935,0.5938,62.7751,0.686,0.0335,25.044,0.8653,1659.534
proposed,4,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,proposed_4_compressed_glioma_0386.jpg,6.06,data/compressed/multiTest\proposed_4_compressed_glioma_0386.jpg,1:5,6.2946,0.5806,63.1534,0.6731,0.0328,28.2083,0.8658,1700.7687
proposed,4,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,proposed_4_compressed_glioma_0769.jpg,6.25,data/compressed/multiTest\proposed_4_compressed_glioma_0769.jpg,1:5,6.9497,0.5355,63.1682,0.6268,0.0682,26.1737,0.8608,1843.8726
proposed,4,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,proposed_4_compressed_glioma_0159.jpg,6.13,data/compressed/multiTest\proposed_4_compressed_glioma_0159.jpg,1:5,6.3037,0.5671,66.8514,0.6559,0.0432,27.4012,0.8677,1738.72
proposed,4,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,proposed_4_compressed_glioma_0934.jpg,3.59,data/compressed/multiTest\proposed_4_compressed_glioma_0934.jpg,1:5,5.7912,0.4399,65.2353,0.5321,0.0332,30.7906,0.9321,2232.1516
proposed,4,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,proposed_4_compressed_glioma_0171.jpg,3.68,data/compressed/multiTest\proposed_4_compressed_glioma_0171.jpg,1:5,6.2762,0.4236,64.6062,0.513,0.036,30.8056,0.9444,2331.4163
proposed,4,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,proposed_4_compressed_glioma_0111.jpg,3.71,data/compressed/multiTest\proposed_4_compressed_glioma_0111.jpg,1:5,5.5909,0.5394,60.5205,0.6367,0.0348,32.8328,0.9333,1832.8584
proposed,4,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,proposed_4_compressed_glioma_0918.jpg,3.83,data/compressed/multiTest\proposed_4_compressed_glioma_0918.jpg,1:5,6.4612,0.4162,63.5129,0.5,0.034,30.1536,0.9273,2370.5729
proposed,4,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,proposed_4_compressed_glioma_0558.jpg,3.78,data/compressed/multiTest\proposed_4_compressed_glioma_0558.jpg,1:5,7.7437,0.4223,60.4418,0.505,0.0365,29.1673,0.9338,2326.8983
proposed,4,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,proposed_4_compressed_pituitary_0048.jpg,11.33,data/compressed/multiTest\proposed_4_compressed_pituitary_0048.jpg,1:29,6.731,0.7799,64.2651,0.8815,0.0502,22.0562,0.7293,1264.506
proposed,4,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,proposed_4_compressed_pituitary_0681.jpg,11.32,data/compressed/multiTest\proposed_4_compressed_pituitary_0681.jpg,1:23,5.791,0.832,61.5212,0.9417,0.0339,22.6735,0.719,1186.2957
proposed,4,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,proposed_4_compressed_pituitary_0287.jpg,7.96,data/compressed/multiTest\proposed_4_compressed_pituitary_0287.jpg,1:29,6.2962,0.6526,62.2647,0.7572,0.034,23.3067,0.8145,1508.466
proposed,4,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,proposed_4_compressed_pituitary_0798.jpg,8.68,data/compressed/multiTest\proposed_4_compressed_pituitary_0798.jpg,1:17,6.3932,0.7351,61.1698,0.8224,0.0454,24.2288,0.7889,1342.2594
proposed,4,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,proposed_4_compressed_pituitary_0598.jpg,9.85,data/compressed/multiTest\proposed_4_compressed_pituitary_0598.jpg,1:12,7.099,0.7882,62.7205,0.8834,0.0346,24.4496,0.8051,1255.0833
proposed,4,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,proposed_4_compressed_pituitary_0274.jpg,8.22,data/compressed/multiTest\proposed_4_compressed_pituitary_0274.jpg,1:5,5.5962,0.7475,62.8619,0.844,0.0481,24.3755,0.824,1318.912
proposed,4,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,proposed_4_compressed_pituitary_0873.jpg,8.67,data/compressed/multiTest\proposed_4_compressed_pituitary_0873.jpg,1:5,11.0142,0.7359,70.4341,0.8476,0.0406,23.3793,0.8109,1338.1898
proposed,4,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,proposed_4_compressed_pituitary_0971.jpg,8.41,data/compressed/multiTest\proposed_4_compressed_pituitary_0971.jpg,1:5,5.7751,0.7014,67.6613,0.7975,0.0444,24.5391,0.8008,1408.0016
proposed,4,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,proposed_4_compressed_pituitary_0816.jpg,8.73,data/compressed/multiTest\proposed_4_compressed_pituitary_0816.jpg,1:5,8.31,0.8183,63.8444,0.9253,0.0428,24.8807,0.8196,1199.37
proposed,4,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,proposed_4_compressed_pituitary_0217.jpg,8.58,data/compressed/multiTest\proposed_4_compressed_pituitary_0217.jpg,1:5,9.9691,0.6998,68.9672,0.8094,0.0351,24.797,0.7965,1408.5032
proposed,4,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,proposed_4_compressed_pituitary_0106.jpg,9.92,data/compressed/multiTest\proposed_4_compressed_pituitary_0106.jpg,1:2,5.72,0.7367,62.7925,0.8184,0.0488,25.1625,0.7151,1342.5265
proposed,4,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,proposed_4_compressed_pituitary_0249.jpg,10.2,data/compressed/multiTest\proposed_4_compressed_pituitary_0249.jpg,1:2,5.6749,0.7861,61.301,0.882,0.0389,24.2659,0.687,1256.4525
proposed,4,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,proposed_4_compressed_pituitary_0498.jpg,10.35,data/compressed/multiTest\proposed_4_compressed_pituitary_0498.jpg,1:2,5.5786,0.8149,65.8778,0.9181,0.0418,24.3704,0.7008,1208.7207
proposed,4,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,proposed_4_compressed_pituitary_0218.jpg,10.33,data/compressed/multiTest\proposed_4_compressed_pituitary_0218.jpg,1:2,6.5462,0.8884,63.6865,0.9909,0.0537,24.4273,0.6904,1108.6562
proposed,4,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,proposed_4_compressed_pituitary_0499.jpg,10.5,data/compressed/multiTest\proposed_4_compressed_pituitary_0499.jpg,1:2,6.8885,0.7569,64.9138,0.859,0.0291,24.1036,0.6817,1300.7377
proposed,5,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,proposed_5_compressed_glioma_0132.jpg,9.64,data/compressed/multiTest\proposed_5_compressed_glioma_0132.jpg,1:5,5.8065,0.7831,60.2807,0.875,0.0377,23.0564,0.7623,1260.3398
proposed,5,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,proposed_5_compressed_glioma_0990.jpg,9.3,data/compressed/multiTest\proposed_5_compressed_glioma_0990.jpg,1:5,5.2768,0.833,60.5462,0.9331,0.0403,23.5434,0.774,1182.4363
proposed,5,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,proposed_5_compressed_glioma_0322.jpg,9.14,data/compressed/multiTest\proposed_5_compressed_glioma_0322.jpg,1:5,6.0289,0.7209,63.5241,0.8175,0.0403,23.6845,0.7848,1368.4375
proposed,5,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,proposed_5_compressed_glioma_0296.jpg,8.55,data/compressed/multiTest\proposed_5_compressed_glioma_0296.jpg,1:6,5.6119,0.714,61.4108,0.8072,0.0379,26.6525,0.8117,1386.3061
proposed,5,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,proposed_5_compressed_glioma_0102.jpg,8.86,data/compressed/multiTest\proposed_5_compressed_glioma_0102.jpg,1:5,5.5133,0.7688,63.9226,0.8605,0.04,24.6696,0.7722,1280.9405
proposed,5,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,proposed_5_compressed_glioma_0840.jpg,5.81,data/compressed/multiTest\proposed_5_compressed_glioma_0840.jpg,1:5,5.2879,0.4689,60.2766,0.5551,0.045,26.5523,0.8803,2092.8322
proposed,5,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,proposed_5_compressed_glioma_0557.jpg,6.29,data/compressed/multiTest\proposed_5_compressed_glioma_0557.jpg,1:5,7.0475,0.6256,67.3808,0.7202,0.041,25.044,0.8653,1579.1279
